run,run_number,batch_size,search_seconds
m1-cuda,1,10,5.967
m1-cuda,2,10,6.141
m1-cuda,3,10,6.008
m1-cuda,4,10,6.479
m1-cuda,5,10,6.245
m1-cuda,1,50,5.745
m1-cuda,2,50,5.891
m1-cuda,3,50,5.804
m1-cuda,4,50,5.949
m1-cuda,5,50,5.749
m1-cuda,1,75,5.725
m1-cuda,2,75,5.801
m1-cuda,3,75,6.024
m1-cuda,4,75,5.933
m1-cuda,5,75,5.732
m1-cuda,1,100,5.715
m1-cuda,2,100,5.943
m1-cuda,3,100,6.453
m1-cuda,4,100,6.743
m1-cuda,5,100,5.731
m1-cuda,1,150,5.718
m1-cuda,2,150,5.728
m1-cuda,3,150,6.003
m1-cuda,4,150,6.143
m1-cuda,5,150,5.722
m1-cuda,1,200,5.715
m1-cuda,2,200,6.284
m1-cuda,3,200,6.016
m1-cuda,4,200,6.303
m1-cuda,5,200,5.723
m1-cuda,1,250,6.037
m1-cuda,2,250,6.417
m1-cuda,3,250,6.702
m1-cuda,4,250,5.777
m1-cuda,5,250,5.72
m1-cuda,1,500,5.768
m1-cuda,2,500,5.792
m1-cuda,3,500,6.307
m1-cuda,4,500,5.795
m1-cuda,5,500,5.738
m1-cuda,1,1000,6.09
m1-cuda,2,1000,6.114
m1-cuda,3,1000,6.082
m1-cuda,4,1000,5.837
m1-cuda,5,1000,6.405
m1-opencl,1,10,6.735
m1-opencl,2,10,6.735
m1-opencl,3,10,6.742
m1-opencl,4,10,6.724
m1-opencl,5,10,6.793
m1-opencl,1,50,6.844
m1-opencl,2,50,6.892
m1-opencl,3,50,6.87
m1-opencl,4,50,6.836
m1-opencl,5,50,6.932
m1-opencl,1,75,6.92
m1-opencl,2,75,6.9
m1-opencl,3,75,6.903
m1-opencl,4,75,6.89
m1-opencl,5,75,6.77
m1-opencl,1,100,7.291
m1-opencl,2,100,6.94
m1-opencl,3,100,6.921
m1-opencl,4,100,6.919
m1-opencl,5,100,7.179
m1-opencl,1,150,6.942
m1-opencl,2,150,7.005
m1-opencl,3,150,6.986
m1-opencl,4,150,6.983
m1-opencl,5,150,7.32
m1-opencl,1,200,6.957
m1-opencl,2,200,7.22
m1-opencl,3,200,7.22
m1-opencl,4,200,7.226
m1-opencl,5,200,7.638
m1-opencl,1,250,6.804
m1-opencl,2,250,7.077
m1-opencl,3,250,7.085
m1-opencl,4,250,7.087
m1-opencl,5,250,7.072
m1-opencl,1,500,6.905
m1-opencl,2,500,7.118
m1-opencl,3,500,7.116
m1-opencl,4,500,7.115
m1-opencl,5,500,7.116
m1-opencl,1,1000,9.411
m1-opencl,2,1000,7.042
m1-opencl,3,1000,8.192
m1-opencl,4,1000,6.972
m1-opencl,5,1000,7.348
m2-opencl,1,10,2
m2-opencl,2,10,2.021
m2-opencl,3,10,2.089
m2-opencl,4,10,2.09
m2-opencl,5,10,2.022
m2-opencl,1,50,1.433
m2-opencl,2,50,1.438
m2-opencl,3,50,1.438
m2-opencl,4,50,1.44
m2-opencl,5,50,1.434
m2-opencl,1,75,1.402
m2-opencl,2,75,1.401
m2-opencl,3,75,1.404
m2-opencl,4,75,1.408
m2-opencl,5,75,1.431
m2-opencl,1,100,1.417
m2-opencl,2,100,1.425
m2-opencl,3,100,1.424
m2-opencl,4,100,1.422
m2-opencl,5,100,1.423
m2-opencl,1,150,1.422
m2-opencl,2,150,1.424
m2-opencl,3,150,1.428
m2-opencl,4,150,1.418
m2-opencl,5,150,1.424
m2-opencl,1,200,1.429
m2-opencl,2,200,1.447
m2-opencl,3,200,1.441
m2-opencl,4,200,1.433
m2-opencl,5,200,1.423
m2-opencl,1,250,1.479
m2-opencl,2,250,1.46
m2-opencl,3,250,1.474
m2-opencl,4,250,1.475
m2-opencl,5,250,1.475
m2-opencl,1,1000,2.032
m2-opencl,2,1000,2.019
m2-opencl,3,1000,2.006
m2-opencl,4,1000,2.006
m2-opencl,5,1000,2.01
m2-opencl,1,3500,2.153
m2-opencl,2,3500,2.156
m2-opencl,3,3500,2.164
m2-opencl,4,3500,2.162
m2-opencl,5,3500,2.164
m3-cuda,1,10,0.948
m3-cuda,2,10,0.937
m3-cuda,3,10,0.945
m3-cuda,4,10,0.938
m3-cuda,5,10,0.942
m3-cuda,1,50,0.612
m3-cuda,2,50,0.613
m3-cuda,3,50,0.613
m3-cuda,4,50,0.614
m3-cuda,5,50,0.614
m3-cuda,1,75,0.61
m3-cuda,2,75,0.613
m3-cuda,3,75,0.613
m3-cuda,4,75,0.61
m3-cuda,5,75,0.615
m3-cuda,1,100,0.62
m3-cuda,2,100,0.644
m3-cuda,3,100,0.625
m3-cuda,4,100,0.623
m3-cuda,5,100,0.625
m3-cuda,1,150,0.634
m3-cuda,2,150,0.636
m3-cuda,3,150,0.638
m3-cuda,4,150,0.635
m3-cuda,5,150,0.638
m3-cuda,1,200,0.653
m3-cuda,2,200,0.658
m3-cuda,3,200,0.659
m3-cuda,4,200,0.655
m3-cuda,5,200,0.661
m3-cuda,1,250,0.699
m3-cuda,2,250,0.696
m3-cuda,3,250,0.7
m3-cuda,4,250,0.7
m3-cuda,5,250,0.7
m3-cuda,1,500,1.172
m3-cuda,2,500,1.173
m3-cuda,3,500,1.176
m3-cuda,4,500,1.175
m3-cuda,5,500,1.174
m3-cuda,1,1000,1.172
m3-cuda,2,1000,1.175
m3-cuda,3,1000,1.171
m3-cuda,4,1000,1.176
m3-cuda,5,1000,1.175
m3-cuda,1,2000,1.184
m3-cuda,2,2000,1.186
m3-cuda,3,2000,1.185
m3-cuda,4,2000,1.185
m3-cuda,5,2000,1.184
m3-cuda,1,3000,1.186
m3-cuda,2,3000,1.186
m3-cuda,3,3000,1.187
m3-cuda,4,3000,1.191
m3-cuda,5,3000,1.186
m3-cuda,1,4000,1.19
m3-cuda,2,4000,1.187
m3-cuda,3,4000,1.19
m3-cuda,4,4000,1.188
m3-cuda,5,4000,1.188
m3-opencl,1,10,2.128
m3-opencl,2,10,2.23
m3-opencl,3,10,2.223
m3-opencl,4,10,2.223
m3-opencl,5,10,2.218
m3-opencl,1,50,0.504
m3-opencl,2,50,0.496
m3-opencl,3,50,0.505
m3-opencl,4,50,0.5
m3-opencl,5,50,0.497
m3-opencl,1,75,0.458
m3-opencl,2,75,0.458
m3-opencl,3,75,0.46
m3-opencl,4,75,0.46
m3-opencl,5,75,0.457
m3-opencl,1,100,0.476
m3-opencl,2,100,0.476
m3-opencl,3,100,0.477
m3-opencl,4,100,0.48
m3-opencl,5,100,0.48
m3-opencl,1,150,0.491
m3-opencl,2,150,0.491
m3-opencl,3,150,0.494
m3-opencl,4,150,0.494
m3-opencl,5,150,0.493
m3-opencl,1,200,0.501
m3-opencl,2,200,0.503
m3-opencl,3,200,0.507
m3-opencl,4,200,0.504
m3-opencl,5,200,0.503
m3-opencl,1,250,0.558
m3-opencl,2,250,0.556
m3-opencl,3,250,0.556
m3-opencl,4,250,0.556
m3-opencl,5,250,0.565
m3-opencl,1,500,1.045
m3-opencl,2,500,1.044
m3-opencl,3,500,1.047
m3-opencl,4,500,1.045
m3-opencl,5,500,1.045
m3-opencl,1,1000,1.08
m3-opencl,2,1000,1.074
m3-opencl,3,1000,1.075
m3-opencl,4,1000,1.08
m3-opencl,5,1000,1.076
m3-opencl,1,2000,1.104
m3-opencl,2,2000,1.102
m3-opencl,3,2000,1.108
m3-opencl,4,2000,1.103
m3-opencl,5,2000,1.103
m3-opencl,1,3000,1.117
m3-opencl,2,3000,1.117
m3-opencl,3,3000,1.118
m3-opencl,4,3000,1.117
m3-opencl,5,3000,1.117
m3-opencl,1,4000,1.147
m3-opencl,2,4000,1.127
m3-opencl,3,4000,1.127
m3-opencl,4,4000,1.128
m3-opencl,5,4000,1.127
m4-cuda,1,10,2.901
m4-cuda,2,10,2.61
m4-cuda,3,10,2.527
m4-cuda,4,10,2.623
m4-cuda,5,10,2.756
m4-cuda,1,50,2.212
m4-cuda,2,50,2.198
m4-cuda,3,50,5.123
m4-cuda,4,50,2.212
m4-cuda,5,50,2.4
m4-cuda,1,75,2.695
m4-cuda,2,75,2.685
m4-cuda,3,75,2.676
m4-cuda,4,75,2.673
m4-cuda,5,75,2.689
m4-cuda,1,100,3.65
m4-cuda,2,100,3.67
m4-cuda,3,100,3.646
m4-cuda,4,100,6.602
m4-cuda,5,100,3.662
